Name	Mobile	Date	Prize
ayush	6204435048	11-12-2023	₹ 250.00
sonu	6204435049	12-12-2023	₹ 300.00
sumit	6204435050	13-12-2023	₹ 350.00
sachin	6204435051	14-12-2023	₹ 400.00
sahil	6204435052	15-12-2023	₹ 450.00
neeraj	6204435053	16-12-2023	₹ 500.00
ramesh	6204435054	17-12-2023	₹ 550.00
suresh	6204435055	18-12-2023	₹ 600.00
rohan	6204435056	19-12-2023	₹ 650.00
kamal	6204435057	20-12-2023	₹ 700.00
manish	6204435058	21-12-2023	₹ 750.00
lakshman	6204435059	22-12-2023	₹ 800.00
gini	6204435060	23-12-2023	₹ 850.00
anjali	6204435061	24-12-2023	₹ 900.00
anisha	6204435062	25-12-2023	₹ 950.00
